Field,Type,Null,Key,Default,Extra
"Row ID",int,YES,,NULL,
"Order ID",text,YES,,NULL,
"Order Date",text,YES,,NULL,
"Ship Date",text,YES,,NULL,
"Ship Mode",text,YES,,NULL,
"Customer ID",text,YES,,NULL,
"Customer Name",text,YES,,NULL,
Segment,text,YES,,NULL,
Country,text,YES,,NULL,
City,text,YES,,NULL,
State,text,YES,,NULL,
"Postal Code",int,YES,,NULL,
Region,text,YES,,NULL,
"Product ID",text,YES,,NULL,
Category,text,YES,,NULL,
Sub-Category,text,YES,,NULL,
"Product Name",text,YES,,NULL,
Sales,double,YES,,NULL,
Quantity,int,YES,,NULL,
Discount,double,YES,,NULL,
Profit,double,YES,,NULL,
