Sub-Category,Total_Units,Avg_Transaction_Value
Bookcases,868,503.8596328947367
Chairs,2356,532.3324197730968
Labels,1400,34.303054945054946
Tables,1241,648.7947711598749
Storage,3065,264.0721218026798
Furnishings,3390,90.93651648351653
Art,3000,34.06883417085422
Phones,3254,374.2940839954598
Binders,5614,139.5015471039777
Appliances,1729,230.75571030042917
Paper,4811,59.47602052091554
Accessories,2976,215.97460387096785
Envelopes,880,62.35565040650403
Fasteners,901,14.191773584905658
Supplies,590,261.0935795454546
Machines,440,1645.553313043478
Copiers,234,2198.941617647058
