"Customer ID","Order ID",Sales
CG-12520,CA-2016-152156,731.94
SO-20335,US-2015-108966,957.58
BH-11710,CA-2014-115812,1706.18
EB-13870,CA-2015-106320,1044.63
TB-21520,US-2015-150630,3083.43
GH-14485,CA-2016-117590,1097.54
SN-20710,CA-2015-117415,532.40
JM-15265,CA-2016-105816,1029.95
TB-21055,CA-2016-111682,319.41
BS-11590,CA-2014-106376,1113.02
PA-19060,CA-2015-129476,339.96
HA-14920,CA-2015-110744,671.93
JE-16165,CA-2016-114489,1951.84
BM-11140,CA-2014-139892,8159.95
CS-12130,CA-2014-118962,340.14
DK-13150,CA-2014-166191,408.74
MP-17470,CA-2015-102281,899.14
JH-15910,CA-2016-130162,302.38
JB-15925,CA-2015-169397,479.99
DS-13180,CA-2015-163055,622.45
DW-13480,CA-2014-131926,2001.86
KC-16540,CA-2016-145625,3347.37
DL-13315,CA-2016-146941,361.92
SB-20290,US-2014-106992,3059.98
RC-19825,CA-2016-125318,328.22
SC-20725,US-2015-161991,1114.40
JO-15280,CA-2015-130890,1038.84
AH-10195,CA-2016-112697,961.48
CR-12625,CA-2014-111003,289.20
NM-18445,CA-2014-164973,3991.98
DB-13615,CA-2015-137946,959.98
AC-10420,CA-2014-129924,698.35
CC-12550,CA-2017-169901,47.98
AB-10060,CA-2016-129714,4355.17
MK-17905,CA-2016-155516,1043.92
AG-10900,US-2014-119137,1023.94
AR-10405,US-2017-134481,1488.42
DO-13435,US-2015-168935,375.46
JG-15115,US-2014-135972,1799.97
AG-10675,CA-2016-108987,2396.27
KH-16510,CA-2017-117457,1336.83
PO-19180,CA-2016-147375,1007.98
TN-21040,CA-2016-109869,1272.63
JS-15940,US-2015-101399,254.74
JG-15805,CA-2016-100790,704.25
EM-14065,CA-2014-127691,159.98
MT-18070,CA-2017-140963,514.17
SA-20830,CA-2014-154627,2735.95
AJ-10960,CA-2014-113362,449.15
MY-17380,US-2016-105578,801.57
CM-12385,CA-2015-145352,6354.95
AD-10180,CA-2017-127432,2999.95
PH-18790,CA-2017-113558,683.95
JC-15340,US-2017-129441,47.94
LM-17065,US-2015-120161,646.78
AS-10135,CA-2017-162929,41.28
DK-13225,CA-2017-100650,1295.78
LR-16915,CA-2014-131450,1199.98
