"Customer ID",Total_Sales,Sales_Rank
SM-20320,25043.07,1
TC-20980,19017.85,2
RB-19360,15117.35,3
TA-21385,14595.62,4
AB-10105,14355.61,5
SC-20095,14142.34,6
KL-16645,14071.92,7
HL-15040,12873.30,8
SE-20110,12209.44,9
CC-12370,12129.08,10
TS-21370,11885.87,11
GT-14710,11820.12,12
BM-11140,11609.91,13
SV-20365,11420.64,14
CJ-12010,11079.74,15
CL-12565,10880.56,16
ME-17320,10635.92,17
KF-16285,10604.26,18
BS-11365,10501.65,19
EH-13765,10005.97,20
JL-15835,9403.02,21
GT-14635,9351.20,22
HW-14935,9300.25,23
TB-21400,9012.74,24
PF-19120,8980.49,25
CM-12385,8954.01,26
JD-16150,8828.04,27
JE-15715,8672.18,28
LA-16780,8631.53,29
DR-12940,8350.87,30
NF-18385,8322.82,31
KD-16270,8282.36,32
NC-18535,8241.74,33
KD-16495,8181.24,34
PK-19075,8158.65,35
HM-14860,8148.84,36
SB-20290,8057.89,37
ZC-21910,8021.13,38
JH-15985,7954.99,39
NP-18700,7903.18,40
AH-10690,7888.30,41
JE-15610,7754.97,42
AB-10060,7732.68,43
JW-15220,7721.71,44
JM-15865,7625.07,45
RW-19540,7397.40,46
LC-16885,7396.78,47
PO-18850,7367.34,48
BM-11650,7283.81,49
NW-18400,7234.02,50
Dp-13240,7198.77,51
PP-18955,7075.92,52
RH-19510,6962.14,53
MS-17365,6848.30,54
PS-19045,6843.63,55
BB-11545,6765.73,56
FH-14365,6683.66,57
YS-21880,6654.50,58
AR-10540,6608.45,59
GK-14620,6497.28,60
JA-15970,6475.48,61
NM-18445,6459.34,62
JD-15895,6456.46,63
SB-20185,6411.00,64
JE-15745,6400.45,65
JG-15160,6366.40,66
CM-12655,6339.56,67
VD-21670,6283.36,68
MJ-17740,6282.23,69
BH-11710,6255.34,70
DM-13015,6247.36,71
DR-12880,6247.20,72
RL-19615,6234.91,73
VW-21775,6112.70,74
QJ-19255,6108.34,75
AD-10180,6101.00,76
GM-14695,6049.96,77
CB-12025,6028.24,78
WB-21850,6024.81,79
RM-19675,5967.73,80
KH-16510,5952.86,81
SD-20485,5920.24,82
BF-11170,5907.97,83
SC-20380,5894.18,84
CP-12340,5888.30,85
KH-16690,5867.85,86
CS-12505,5690.07,87
BD-11320,5672.18,88
AM-10705,5653.86,89
RB-19795,5633.31,90
KM-16375,5609.74,91
AA-10315,5563.56,92
SM-20950,5563.40,93
NP-18325,5529.62,94
AC-10450,5527.85,95
MH-18115,5503.09,96
DP-13390,5480.73,97
EP-13915,5478.06,98
YC-21895,5454.35,99
SP-20620,5440.32,100
LW-17215,5420.52,101
TS-21205,5371.11,102
TT-21460,5364.80,103
MW-18220,5341.90,104
TP-21415,5328.98,105
DW-13480,5256.85,106
MW-18235,5253.88,107
HR-14830,5248.80,108
SC-20725,5226.20,109
TW-21025,5164.62,110
CP-12085,5164.10,111
LR-16915,5142.89,112
RP-19390,5142.12,113
MP-18175,5087.93,114
IL-15100,5040.74,115
LB-16795,4985.68,116
DH-13075,4932.87,117
IM-15070,4930.49,118
TT-21070,4915.59,119
KM-16720,4909.47,120
PO-19180,4893.05,121
HK-14890,4877.80,122
AJ-10780,4867.34,123
AH-10210,4805.35,124
RA-19915,4781.35,125
JK-15730,4769.91,126
JK-15640,4752.45,127
BW-11110,4750.36,128
TB-21520,4730.62,129
SA-20830,4708.52,130
ES-14080,4648.52,131
KT-16480,4642.10,132
SC-20050,4624.57,133
DB-13270,4621.66,134
GB-14575,4594.34,135
RB-19465,4556.57,136
AR-10825,4523.33,137
AG-10900,4510.79,138
SC-20770,4492.68,139
KL-16555,4483.77,140
LC-16930,4481.16,141
AA-10645,4455.90,142
TP-21130,4454.06,143
EM-14140,4438.33,144
MC-17425,4432.14,145
KW-16435,4416.52,146
BD-11500,4408.30,147
AJ-10795,4391.49,148
AI-10855,4375.79,149
SC-20230,4371.96,150
GZ-14470,4355.15,151
SR-20740,4345.88,152
EB-13840,4344.51,153
ND-18370,4281.39,154
MA-17560,4280.62,155
JK-15205,4278.17,156
DB-13060,4265.30,157
TC-21295,4261.85,158
AS-10225,4249.00,159
TH-21550,4229.56,160
BE-11335,4204.68,161
JF-15565,4198.32,162
FH-14275,4190.71,163
MY-18295,4134.40,164
DK-13225,4125.84,165
CB-12535,4123.52,166
PM-19135,4115.66,167
SV-20785,4105.32,168
DM-13345,4074.47,169
FP-14320,4046.75,170
SP-20860,4028.57,171
SP-20920,3990.67,172
CM-12715,3984.45,173
MP-17965,3983.65,174
SC-20305,3971.06,175
DK-12895,3943.02,176
LF-17185,3930.52,177
GH-14425,3925.74,178
GA-14515,3919.77,179
KH-16630,3918.96,180
DB-13555,3908.80,181
KC-16540,3908.27,182
CC-12220,3902.53,183
NP-18670,3896.64,184
PW-19240,3878.31,185
JS-15880,3868.01,186
FC-14335,3865.84,187
RA-19885,3832.32,188
RS-19765,3831.93,189
AT-10735,3831.87,190
OT-18730,3818.62,191
RO-19780,3815.47,192
MC-17845,3805.71,193
MM-17920,3794.07,194
CA-11965,3789.72,195
MG-17650,3785.28,196
SJ-20125,3777.88,197
MD-17350,3766.40,198
JK-15625,3760.03,199
JK-16090,3747.66,200
RD-19480,3743.04,201
FM-14290,3736.20,202
SC-20260,3729.80,203
HG-15025,3690.28,204
LP-17095,3653.40,205
CS-12400,3651.86,206
RH-19495,3621.38,207
BP-11185,3610.29,208
SZ-20035,3592.44,209
GM-14440,3582.82,210
TB-21175,3579.02,211
JP-15520,3572.94,212
DL-13495,3539.32,213
ES-14020,3510.46,214
RW-19690,3495.64,215
AG-10675,3489.06,216
ED-13885,3484.91,217
PW-19030,3454.91,218
EB-13705,3448.27,219
SF-20200,3422.78,220
FC-14245,3414.68,221
SG-20080,3406.58,222
BS-11380,3379.12,223
TS-21655,3368.08,224
SC-20020,3362.96,225
DJ-13630,3356.40,226
DC-12850,3336.17,227
AP-10915,3323.55,228
DK-13375,3318.49,229
KH-16330,3312.87,230
RF-19345,3309.14,231
SF-20965,3306.87,232
RR-19525,3302.26,233
BD-11605,3288.48,234
BS-11665,3288.12,235
DV-13465,3285.98,236
RW-19630,3273.65,237
DL-12925,3272.20,238
AS-10090,3255.30,239
JO-15145,3254.95,240
DK-12835,3253.53,241
AH-10075,3250.35,242
LC-16960,3246.63,243
CT-11995,3241.90,244
SR-20425,3233.48,245
LW-16990,3230.30,246
RS-19420,3221.29,247
AS-10285,3212.28,248
MP-17470,3206.12,249
CS-12355,3202.16,250
BT-11680,3196.75,251
DG-13300,3195.82,252
VP-21760,3193.62,253
HG-14965,3184.18,254
EB-13750,3166.89,255
GM-14680,3163.63,256
CK-12205,3154.83,257
KB-16240,3152.61,258
JM-15250,3145.36,259
JL-15505,3142.74,260
MS-17770,3138.57,261
RD-19900,3133.92,262
TN-21040,3130.23,263
SN-20710,3127.97,264
SG-20605,3116.98,265
KH-16360,3100.60,266
PG-18820,3086.90,267
GM-14455,3078.63,268
EB-14110,3071.14,269
TG-21310,3058.38,270
KT-16465,3057.10,271
SS-20410,3056.81,272
SL-20155,3053.01,273
CA-12775,3041.58,274
AS-10045,3035.03,275
CS-11950,3027.74,276
EH-14125,3013.14,277
LS-16975,2988.65,278
MH-18025,2984.95,279
FA-14230,2984.05,280
NS-18640,2964.82,281
TM-21010,2953.99,282
TH-21115,2942.78,283
CK-12325,2939.60,284
LT-17110,2936.26,285
BC-11125,2933.67,286
JK-16120,2932.49,287
DB-13120,2931.71,288
SW-20455,2921.54,289
ML-17410,2921.51,290
RD-19585,2912.90,291
CY-12745,2900.02,292
ND-18460,2893.46,293
MG-18145,2890.59,294
MT-17815,2890.14,295
DS-13180,2881.80,296
PV-18985,2876.05,297
CC-12430,2870.05,298
BF-11020,2865.78,299
CC-12685,2854.12,300
AW-10930,2851.43,301
IM-15055,2848.36,302
LS-16945,2845.27,303
DB-12970,2839.23,304
JM-16195,2833.92,305
CV-12295,2830.63,306
GH-14410,2807.70,307
TS-21610,2801.88,308
BG-11035,2798.96,309
TB-21625,2797.68,310
RD-19660,2786.63,311
SH-19975,2774.26,312
JC-15775,2772.06,313
PF-19165,2770.00,314
EB-13870,2767.22,315
MM-18055,2749.87,316
KB-16585,2742.76,317
LL-16840,2741.20,318
JL-15850,2725.25,319
MC-17275,2723.03,320
ML-17395,2722.84,321
JK-15370,2709.62,322
JE-16165,2697.25,323
CS-12250,2696.80,324
BT-11530,2684.50,325
NH-18610,2673.29,326
RB-19435,2663.07,327
EA-14035,2660.83,328
EJ-14155,2656.69,329
DK-13090,2650.55,330
CA-12265,2648.29,331
FO-14305,2622.83,332
KN-16390,2617.29,333
RA-19285,2606.07,334
LC-17140,2605.10,335
SO-20335,2602.58,336
SU-20665,2595.38,337
BO-11350,2586.08,338
HA-14920,2584.17,339
SC-20695,2576.40,340
NS-18505,2575.87,341
BT-11305,2567.66,342
EM-13810,2567.00,343
AG-10270,2565.26,344
MZ-17515,2564.89,345
CC-12610,2540.63,346
CM-12160,2533.32,347
HF-14995,2533.16,348
LC-16870,2526.19,349
FM-14380,2523.26,350
JS-16030,2516.49,351
DJ-13510,2501.69,352
AC-10615,2499.76,353
PO-18865,2493.22,354
BS-11755,2492.35,355
NZ-18565,2488.33,356
CC-12145,2471.65,357
MN-17935,2469.04,358
NC-18340,2461.41,359
MH-17455,2456.18,360
BS-11590,2454.93,361
VM-21685,2454.87,362
GZ-14545,2454.62,363
MA-17995,2453.29,364
TH-21100,2422.83,365
AH-10465,2406.44,366
BP-11095,2399.55,367
DF-13135,2390.54,368
BP-11290,2383.80,369
MH-17290,2381.73,370
FM-14215,2374.27,371
CK-12595,2372.75,372
JF-15415,2371.45,373
CV-12805,2370.33,374
MC-17590,2362.51,375
JG-15115,2358.66,376
CL-12700,2353.59,377
MG-17680,2350.20,378
RF-19735,2341.30,379
AG-10495,2338.68,380
EM-13825,2324.36,381
XP-21865,2320.41,382
MK-17905,2302.36,383
LH-16900,2295.32,384
CM-12235,2287.17,385
JF-15190,2279.59,386
FH-14350,2271.29,387
CC-12670,2269.69,388
BE-11410,2261.44,389
MC-17605,2258.20,390
JH-16180,2256.39,391
KD-16615,2243.51,392
TS-21505,2243.28,393
MY-17380,2242.62,394
LW-16825,2238.06,395
AR-10405,2236.12,396
MC-18100,2218.99,397
NC-18415,2218.99,397
GG-14650,2216.00,399
PF-19225,2206.12,400
DB-13210,2204.82,401
MH-17785,2203.78,402
JL-15235,2203.70,403
JR-16210,2201.69,404
TB-21280,2198.46,405
JG-15310,2197.80,406
GW-14605,2189.02,407
NR-18550,2184.33,408
BT-11395,2182.19,409
PS-18760,2181.48,410
SH-20395,2180.70,411
KN-16450,2171.97,412
DB-12910,2171.61,413
RP-19855,2170.71,414
DP-13105,2164.88,415
HA-14905,2163.32,416
EJ-13720,2162.18,417
JD-15790,2152.35,418
CR-12580,2148.85,419
KN-16705,2148.03,420
DN-13690,2139.79,421
EN-13780,2138.24,422
KM-16225,2134.24,423
NM-18520,2123.35,424
KC-16255,2103.83,425
SH-20635,2096.39,426
RH-19600,2085.74,427
TG-21640,2074.67,428
ML-17755,2071.91,429
RB-19705,2067.45,430
LC-17050,2064.50,431
TS-21430,2054.14,432
AF-10870,2052.91,433
CD-11920,2033.97,434
NF-18595,2031.48,435
DJ-13420,2012.52,436
VB-21745,2005.59,437
HP-14815,1990.31,438
DB-13615,1989.05,439
PG-18895,1987.15,440
NB-18655,1972.61,441
SW-20275,1966.65,442
LD-17005,1961.93,443
TP-21565,1936.62,444
JF-15355,1911.84,445
JO-15280,1911.55,446
ME-17725,1908.45,447
SV-20935,1903.49,448
KD-16345,1888.96,449
GD-14590,1888.08,450
SG-20470,1884.80,451
SC-20440,1875.00,452
BG-11695,1874.18,453
NG-18355,1869.57,454
CD-12790,1860.74,455
SN-20560,1860.42,456
CB-12415,1856.27,457
JB-16045,1841.65,458
PR-18880,1840.18,459
AJ-10945,1839.24,460
PC-18745,1832.07,461
EG-13900,1832.02,462
LR-17035,1831.38,463
PJ-19015,1824.23,464
NC-18625,1821.75,465
JM-15265,1804.14,466
JB-15400,1791.62,467
AA-10480,1782.87,468
CC-12100,1765.23,469
DS-13030,1762.21,470
AH-10030,1744.70,471
VT-21700,1736.60,472
AH-10120,1735.53,473
MV-18190,1734.58,474
JM-15535,1733.45,475
BE-11455,1727.65,476
BW-11200,1726.23,477
JP-16135,1707.71,478
TZ-21580,1707.28,479
