"Customer ID","Order ID","Order Date",Customer_Order_Sequence
AA-10315,CA-2015-121391,10/4/2015,1
AA-10315,CA-2016-103982,3/3/2016,2
AA-10315,CA-2016-103982,3/3/2016,3
AA-10315,CA-2016-103982,3/3/2016,4
AA-10315,CA-2016-103982,3/3/2016,5
AA-10315,CA-2014-128055,3/31/2014,6
AA-10315,CA-2014-128055,3/31/2014,7
AA-10315,CA-2017-147039,6/29/2017,8
AA-10315,CA-2017-147039,6/29/2017,9
AA-10315,CA-2014-138100,9/15/2014,10
AA-10315,CA-2014-138100,9/15/2014,11
AA-10375,CA-2014-130729,10/24/2014,1
AA-10375,CA-2015-114503,11/13/2015,2
AA-10375,CA-2016-131065,11/14/2016,3
AA-10375,CA-2016-131065,11/14/2016,4
AA-10375,CA-2016-131065,11/14/2016,5
AA-10375,CA-2017-100230,12/11/2017,6
AA-10375,CA-2017-100230,12/11/2017,7
AA-10375,CA-2017-100230,12/11/2017,8
AA-10375,CA-2015-140921,2/3/2015,9
AA-10375,CA-2015-140921,2/3/2015,10
AA-10375,CA-2014-158064,4/21/2014,11
AA-10375,CA-2015-109939,5/8/2015,12
AA-10375,CA-2016-126613,7/10/2016,13
AA-10375,US-2017-169488,9/7/2017,14
AA-10375,US-2017-169488,9/7/2017,15
AA-10480,CA-2017-114412,4/15/2017,1
AA-10480,CA-2014-155271,5/4/2014,2
AA-10480,CA-2016-121671,7/17/2016,3
AA-10480,CA-2016-121671,7/17/2016,4
AA-10480,CA-2016-121671,7/17/2016,5
AA-10480,CA-2016-121671,7/17/2016,6
AA-10480,CA-2016-114601,8/26/2016,7
AA-10480,CA-2016-114601,8/26/2016,8
AA-10480,CA-2016-114601,8/26/2016,9
AA-10480,CA-2016-114601,8/26/2016,10
AA-10480,CA-2016-114601,8/26/2016,11
AA-10645,CA-2015-110863,11/17/2015,1
AA-10645,CA-2015-110863,11/17/2015,2
AA-10645,CA-2017-157196,11/5/2017,3
AA-10645,CA-2014-143210,12/1/2014,4
AA-10645,CA-2014-143210,12/1/2014,5
AA-10645,CA-2014-154963,6/22/2014,6
AA-10645,CA-2014-154963,6/22/2014,7
AA-10645,CA-2014-154963,6/22/2014,8
AA-10645,CA-2016-147137,7/4/2016,9
AA-10645,CA-2016-147137,7/4/2016,10
AA-10645,CA-2016-147137,7/4/2016,11
AA-10645,CA-2016-131205,9/4/2016,12
AA-10645,CA-2016-131205,9/4/2016,13
AA-10645,CA-2016-131205,9/4/2016,14
AA-10645,CA-2016-131205,9/4/2016,15
AB-10015,CA-2016-140935,11/10/2016,1
AB-10015,CA-2016-140935,11/10/2016,2
AB-10015,CA-2014-152905,2/18/2014,3
AB-10015,CA-2014-156587,3/7/2014,4
AB-10015,CA-2014-156587,3/7/2014,5
AB-10015,CA-2014-156587,3/7/2014,6
AB-10060,CA-2017-118213,11/5/2017,1
AB-10060,CA-2017-118213,11/5/2017,2
AB-10060,CA-2017-107174,11/6/2017,3
AB-10060,CA-2017-107174,11/6/2017,4
AB-10060,CA-2017-107174,11/6/2017,5
AB-10060,US-2016-108637,3/13/2016,6
AB-10060,US-2016-108637,3/13/2016,7
AB-10060,US-2016-108637,3/13/2016,8
AB-10060,CA-2017-159688,5/7/2017,9
AB-10060,CA-2016-161207,8/29/2016,10
AB-10060,CA-2016-129714,9/1/2016,11
AB-10060,CA-2016-129714,9/1/2016,12
AB-10060,CA-2016-129714,9/1/2016,13
AB-10060,CA-2016-129714,9/1/2016,14
AB-10060,CA-2016-129714,9/1/2016,15
AB-10060,CA-2017-134173,9/16/2017,16
AB-10105,CA-2017-101042,11/19/2017,1
AB-10105,CA-2017-101042,11/19/2017,2
AB-10105,CA-2015-163181,11/7/2015,3
AB-10105,CA-2015-163181,11/7/2015,4
AB-10105,CA-2015-163181,11/7/2015,5
AB-10105,CA-2015-163181,11/7/2015,6
AB-10105,CA-2015-163181,11/7/2015,7
AB-10105,CA-2015-163181,11/7/2015,8
AB-10105,CA-2016-117121,12/17/2016,9
AB-10105,CA-2014-103100,12/20/2014,10
AB-10105,CA-2014-103100,12/20/2014,11
AB-10105,CA-2017-121643,5/18/2017,12
AB-10105,CA-2017-126788,6/5/2017,13
AB-10105,CA-2017-140781,8/3/2017,14
AB-10105,CA-2017-153822,9/19/2017,15
AB-10105,CA-2017-153822,9/19/2017,16
AB-10105,CA-2017-153822,9/19/2017,17
AB-10105,CA-2017-153822,9/19/2017,18
AB-10105,US-2016-122245,9/25/2016,19
AB-10150,CA-2016-147970,1/31/2016,1
AB-10150,CA-2017-158876,11/19/2017,2
AB-10150,CA-2017-158876,11/19/2017,3
AB-10150,CA-2017-158876,11/19/2017,4
AB-10150,CA-2017-158876,11/19/2017,5
AB-10150,CA-2014-169061,3/5/2014,6
AB-10150,CA-2014-169061,3/5/2014,7
AB-10150,CA-2014-169061,3/5/2014,8
AB-10150,CA-2014-169061,3/5/2014,9
AB-10150,CA-2014-169061,3/5/2014,10
AB-10150,CA-2015-168186,9/10/2015,11
AB-10150,CA-2017-120761,9/4/2017,12
AB-10165,US-2014-139500,11/16/2014,1
AB-10165,CA-2017-131212,12/5/2017,2
AB-10165,CA-2017-131212,12/5/2017,3
AB-10165,CA-2015-131534,3/28/2015,4
AB-10165,CA-2015-131534,3/28/2015,5
AB-10165,CA-2017-126634,3/30/2017,6
AB-10165,CA-2017-144932,4/14/2017,7
AB-10165,CA-2017-144932,4/14/2017,8
AB-10165,CA-2017-144932,4/14/2017,9
AB-10165,CA-2015-144043,5/10/2015,10
AB-10165,CA-2015-115945,6/25/2015,11
AB-10165,CA-2015-115945,6/25/2015,12
AB-10165,CA-2015-115945,6/25/2015,13
AB-10165,CA-2017-145737,9/15/2017,14
AB-10255,CA-2016-151323,10/23/2016,1
AB-10255,CA-2016-151155,12/20/2016,2
AB-10255,CA-2016-151155,12/20/2016,3
AB-10255,CA-2015-110093,12/3/2015,4
AB-10255,CA-2015-142055,5/8/2015,5
AB-10255,CA-2017-155873,6/16/2017,6
AB-10255,CA-2017-155873,6/16/2017,7
AB-10255,CA-2017-155873,6/16/2017,8
AB-10255,CA-2017-127705,6/2/2017,9
AB-10255,CA-2017-127705,6/2/2017,10
AB-10255,US-2016-158708,6/26/2016,11
AB-10255,CA-2017-126662,7/17/2017,12
AB-10255,CA-2014-122679,7/22/2014,13
AB-10600,US-2017-155425,11/10/2017,1
AB-10600,US-2017-155425,11/10/2017,2
AB-10600,US-2017-155425,11/10/2017,3
AB-10600,US-2017-155425,11/10/2017,4
AB-10600,US-2017-155425,11/10/2017,5
AB-10600,CA-2014-115336,11/18/2014,6
AB-10600,CA-2015-158323,11/30/2015,7
AB-10600,CA-2015-111234,2/18/2015,8
AC-10420,CA-2016-144400,2/23/2016,1
AC-10420,US-2017-158218,5/12/2017,2
AC-10420,CA-2014-129924,7/12/2014,3
AC-10420,CA-2014-129924,7/12/2014,4
AC-10450,CA-2017-141789,10/3/2017,1
AC-10450,US-2014-167262,10/31/2014,2
AC-10450,CA-2016-163573,11/24/2016,3
AC-10450,CA-2015-164441,11/8/2015,4
AC-10450,CA-2015-164441,11/8/2015,5
AC-10450,CA-2017-158729,12/19/2017,6
AC-10450,US-2015-106495,6/15/2015,7
AC-10450,CA-2016-116232,9/22/2016,8
AC-10450,CA-2016-116232,9/22/2016,9
AC-10615,CA-2017-136007,2/23/2017,1
AC-10615,CA-2017-136007,2/23/2017,2
AC-10615,CA-2017-101637,3/24/2017,3
AC-10615,CA-2015-100734,9/15/2015,4
AC-10615,CA-2015-100734,9/15/2015,5
AC-10615,CA-2017-157987,9/2/2017,6
AC-10615,CA-2017-157987,9/2/2017,7
AC-10615,CA-2017-157987,9/2/2017,8
AC-10615,CA-2017-157987,9/2/2017,9
AC-10615,CA-2017-157987,9/2/2017,10
AC-10615,CA-2017-157987,9/2/2017,11
AC-10615,CA-2017-157987,9/2/2017,12
AC-10615,CA-2017-157987,9/2/2017,13
AC-10615,CA-2017-157987,9/2/2017,14
AC-10615,CA-2017-157987,9/2/2017,15
AC-10615,CA-2017-157987,9/2/2017,16
AC-10615,CA-2017-157987,9/2/2017,17
AC-10660,US-2014-122021,10/15/2014,1
AC-10660,US-2014-122021,10/15/2014,2
AC-10660,CA-2016-134544,3/17/2016,3
AC-10660,CA-2017-135650,3/23/2017,4
AC-10660,CA-2016-161928,6/27/2016,5
AC-10660,CA-2016-158617,9/22/2016,6
AD-10180,CA-2017-127432,1/22/2017,1
AD-10180,CA-2017-127432,1/22/2017,2
AD-10180,CA-2017-127432,1/22/2017,3
AD-10180,CA-2017-127432,1/22/2017,4
AD-10180,CA-2017-160416,11/13/2017,5
AD-10180,CA-2017-143245,12/1/2017,6
AD-10180,CA-2017-143245,12/1/2017,7
AD-10180,US-2014-152030,12/26/2014,8
AD-10180,US-2017-136784,4/30/2017,9
AD-10180,CA-2015-120439,6/14/2015,10
AD-10180,CA-2015-124268,7/4/2015,11
AF-10870,CA-2017-167871,11/18/2017,1
AF-10870,CA-2017-167871,11/18/2017,2
AF-10870,US-2017-139969,11/19/2017,3
AF-10870,CA-2015-168634,12/6/2015,4
AF-10870,CA-2016-126270,4/23/2016,5
AF-10870,CA-2016-126270,4/23/2016,6
AF-10870,CA-2017-125269,4/24/2017,7
AF-10870,CA-2017-125269,4/24/2017,8
AF-10870,CA-2016-146934,5/22/2016,9
AF-10870,CA-2016-146934,5/22/2016,10
AF-10870,CA-2016-146934,5/22/2016,11
AF-10870,CA-2016-146934,5/22/2016,12
AF-10870,CA-2016-146934,5/22/2016,13
AF-10870,CA-2016-146934,5/22/2016,14
AF-10870,CA-2016-139234,5/6/2016,15
AF-10870,CA-2016-139234,5/6/2016,16
AF-10885,CA-2015-114300,10/13/2015,1
AF-10885,CA-2015-114300,10/13/2015,2
AF-10885,CA-2016-115588,11/10/2016,3
AF-10885,CA-2016-115588,11/10/2016,4
AF-10885,CA-2014-114181,5/10/2014,5
AF-10885,CA-2014-114181,5/10/2014,6
AF-10885,CA-2014-103702,9/12/2014,7
AG-10270,CA-2017-139416,3/27/2017,1
AG-10270,CA-2014-167164,5/13/2014,2
AG-10270,CA-2014-103058,7/23/2014,3
AG-10270,CA-2016-105732,9/13/2016,4
AG-10270,CA-2016-105732,9/13/2016,5
AG-10270,CA-2016-105732,9/13/2016,6
AG-10270,CA-2016-105732,9/13/2016,7
AG-10270,CA-2016-105732,9/13/2016,8
AG-10270,CA-2016-105732,9/13/2016,9
AG-10270,CA-2016-105732,9/13/2016,10
AG-10270,CA-2016-105732,9/13/2016,11
AG-10270,CA-2016-105732,9/13/2016,12
AG-10270,CA-2015-153738,9/20/2015,13
AG-10300,CA-2015-166800,11/19/2015,1
AG-10300,CA-2016-143749,12/5/2016,2
AG-10300,CA-2014-147298,4/26/2014,3
AG-10300,CA-2017-161823,9/3/2017,4
AG-10330,CA-2017-107748,12/10/2017,1
AG-10330,CA-2017-107748,12/10/2017,2
AG-10330,CA-2017-108287,12/18/2017,3
AG-10330,CA-2017-142909,12/22/2017,4
AG-10330,CA-2017-104927,12/22/2017,5
AG-10330,CA-2017-104927,12/22/2017,6
AG-10330,CA-2017-104927,12/22/2017,7
AG-10330,CA-2016-104150,8/3/2016,8
AG-10330,CA-2016-104150,8/3/2016,9
AG-10390,CA-2016-109820,11/20/2016,1
AG-10390,CA-2016-109820,11/20/2016,2
AG-10390,CA-2016-109820,11/20/2016,3
AG-10390,CA-2016-136483,12/1/2016,4
AG-10390,CA-2014-158470,4/19/2014,5
AG-10390,CA-2014-158470,4/19/2014,6
AG-10390,CA-2014-125171,9/3/2014,7
AG-10390,CA-2017-107244,9/7/2017,8
AG-10495,CA-2015-104241,1/4/2015,1
AG-10495,CA-2017-132976,10/13/2017,2
AG-10495,CA-2017-132976,10/13/2017,3
AG-10495,CA-2017-132976,10/13/2017,4
AG-10495,CA-2016-168921,10/20/2016,5
AG-10495,CA-2015-142692,10/23/2015,6
AG-10495,CA-2015-118738,10/24/2015,7
AG-10495,CA-2015-118738,10/24/2015,8
AG-10495,CA-2015-118738,10/24/2015,9
AG-10495,CA-2015-156146,10/26/2015,10
AG-10495,CA-2015-156146,10/26/2015,11
AG-10495,CA-2015-111948,11/11/2015,12
AG-10495,CA-2015-111948,11/11/2015,13
AG-10495,CA-2015-162201,6/8/2015,14
AG-10495,CA-2015-162201,6/8/2015,15
AG-10495,CA-2015-162201,6/8/2015,16
AG-10495,CA-2015-162201,6/8/2015,17
AG-10495,CA-2015-162201,6/8/2015,18
AG-10495,CA-2015-162201,6/8/2015,19
AG-10495,CA-2015-162201,6/8/2015,20
AG-10525,CA-2014-167850,8/9/2014,1
AG-10525,CA-2014-167850,8/9/2014,2
AG-10525,CA-2014-158281,9/2/2014,3
AG-10525,CA-2015-169572,9/6/2015,4
AG-10525,CA-2015-164084,9/7/2015,5
AG-10525,CA-2015-164084,9/7/2015,6
AG-10525,CA-2015-164084,9/7/2015,7
AG-10525,CA-2015-164084,9/7/2015,8
AG-10675,CA-2016-133368,1/14/2016,1
AG-10675,CA-2016-133368,1/14/2016,2
AG-10675,CA-2015-137512,5/7/2015,3
AG-10675,CA-2015-137512,5/7/2015,4
AG-10675,US-2017-146822,6/9/2017,5
AG-10675,CA-2017-101483,7/29/2017,6
AG-10675,CA-2017-101483,7/29/2017,7
AG-10675,CA-2017-101483,7/29/2017,8
AG-10675,CA-2017-163335,9/24/2017,9
AG-10675,CA-2017-163335,9/24/2017,10
AG-10675,US-2017-104094,9/7/2017,11
AG-10675,CA-2016-108987,9/8/2016,12
AG-10675,CA-2016-108987,9/8/2016,13
AG-10675,CA-2016-108987,9/8/2016,14
AG-10675,CA-2016-108987,9/8/2016,15
AG-10765,CA-2017-126123,10/14/2017,1
AG-10765,CA-2015-113222,11/9/2015,2
AG-10765,CA-2015-110947,6/9/2015,3
AG-10900,CA-2015-115399,12/19/2015,1
AG-10900,CA-2015-148376,12/27/2015,2
AG-10900,CA-2015-148376,12/27/2015,3
AG-10900,CA-2016-160108,12/8/2016,4
AG-10900,CA-2016-160108,12/8/2016,5
AG-10900,CA-2017-110198,5/1/2017,6
AG-10900,CA-2017-110198,5/1/2017,7
AG-10900,CA-2016-158435,5/17/2016,8
AG-10900,CA-2016-158435,5/17/2016,9
AG-10900,CA-2016-158435,5/17/2016,10
AG-10900,US-2014-119137,7/23/2014,11
AG-10900,US-2014-119137,7/23/2014,12
AG-10900,US-2014-119137,7/23/2014,13
AG-10900,US-2014-119137,7/23/2014,14
AG-10900,CA-2015-136728,9/13/2015,15
AG-10900,CA-2015-136728,9/13/2015,16
AG-10900,CA-2017-116939,9/25/2017,17
AG-10900,CA-2017-161557,9/3/2017,18
