product_id,product_name,category,price
1,Relate Lite,Electronics,44.64
2,Hundred Max,Clothing,279.5
3,Great Lite,Electronics,816.89
4,Air Lite,Electronics,714.73
5,Miss Pro,Electronics,150.0
6,Today Pro,Beauty,728.39
7,Garden Lite,Clothing,863.48
8,Court Lite,Beauty,512.13
9,Method Max,Beauty,344.66
10,Difference Pro,Clothing,842.3
11,Hear Max,Home Decor,199.24
12,Subject Max,Electronics,124.9
13,Evening Pro,Home Decor,1019.28
14,Grow Lite,Home Decor,971.45
15,Far Lite,Books,650.43
16,Up Max,Electronics,669.17
17,Pick Lite,Beauty,1064.26
18,Science Max,Beauty,242.86
19,Up Pro,Electronics,798.6
20,Fact Max,Electronics,1028.55
21,Only Pro,Books,344.4
22,Action Lite,Home Decor,207.75
23,Nation Max,Clothing,809.16
24,Yourself Lite,Electronics,736.82
25,Cut Pro,Beauty,879.02
26,Bed Pro,Books,464.65
27,Effort Lite,Beauty,275.24
28,Service Max,Electronics,286.42
29,Investment Pro,Home Decor,490.38
30,Middle Pro,Clothing,1097.07
