order_id,customer_id,product_id,quantity,order_date
1,73,29,3,2025-10-28 15:58:15
2,64,13,4,2025-09-23 15:58:15
3,34,5,2,2026-04-25 15:58:15
4,69,9,4,2026-05-06 15:58:15
5,52,12,2,2025-09-20 15:58:15
6,66,16,1,2025-08-05 15:58:15
7,15,5,2,2026-06-25 15:58:15
8,55,20,1,2026-01-25 15:58:15
9,49,20,4,2026-04-08 15:58:15
10,33,18,1,2026-06-25 15:58:15
11,15,22,3,2026-06-05 15:58:15
12,44,4,3,2026-02-19 15:58:15
13,21,15,1,2025-11-23 15:58:15
14,65,25,2,2026-03-28 15:58:15
15,14,28,3,2026-06-04 15:58:15
16,65,20,2,2025-09-28 15:58:15
17,48,25,2,2026-04-14 15:58:15
18,68,30,1,2026-05-14 15:58:15
19,42,16,1,2025-09-07 15:58:15
20,47,29,3,2025-11-11 15:58:15
21,8,8,1,2025-08-24 15:58:15
22,63,27,1,2026-04-10 15:58:15
23,17,5,4,2026-04-19 15:58:15
24,22,9,4,2025-10-28 15:58:15
25,70,25,2,2025-12-18 15:58:15
26,52,22,3,2026-02-21 15:58:15
27,67,15,1,2025-11-15 15:58:15
28,29,3,3,2025-07-22 15:58:15
29,76,18,2,2026-05-09 15:58:15
30,29,555,1,2025-08-17 15:58:15
31,8,8,1,2025-07-28 15:58:15
32,43,3,2,2025-12-01 15:58:15
33,63,7,2,2026-04-30 15:58:15
34,74,16,2,2026-03-11 15:58:15
35,53,7,1,2025-08-30 15:58:15
36,56,12,4,2026-02-07 15:58:15
37,60,28,1,2026-06-21 15:58:15
38,13,2,4,2026-01-01 15:58:15
39,14,8,2,2025-10-17 15:58:15
40,69,15,2,2026-02-13 15:58:15
41,24,9,4,2025-11-16 15:58:15
42,10,15,1,2025-08-06 15:58:15
43,70,27,1,2025-08-28 15:58:15
44,31,6,4,2026-03-17 15:58:15
45,62,7,4,2025-08-11 15:58:15
46,22,13,1,2026-01-27 15:58:15
47,34,30,4,2025-12-05 15:58:15
48,55,23,4,2025-09-29 15:58:15
49,25,10,2,2025-08-10 15:58:15
50,999,24,3,2025-08-10 15:58:15
51,7,19,4,2026-03-26 15:58:15
52,68,6,1,2026-03-29 15:58:15
53,11,28,2,2025-08-16 15:58:15
54,77,3,2,2026-02-03 15:58:15
55,16,29,2,2026-05-04 15:58:15
56,77,2,1,2026-02-11 15:58:15
57,75,19,3,2025-11-22 15:58:15
58,27,22,3,2025-11-11 15:58:15
59,34,13,2,2026-06-20 15:58:15
60,39,15,3,2025-08-18 15:58:15
61,2,15,1,2025-08-18 15:58:15
62,69,7,3,2025-09-17 15:58:15
63,45,29,1,2025-11-14 15:58:15
64,48,10,2,2026-02-21 15:58:15
65,70,23,3,2026-05-21 15:58:15
66,68,1,3,2026-06-16 15:58:15
67,14,29,2,2025-11-24 15:58:15
68,15,29,1,2026-04-21 15:58:15
69,20,9,3,2026-05-17 15:58:15
70,27,23,3,2025-10-24 15:58:15
71,34,17,4,2025-11-17 15:58:15
72,7,3,4,2025-11-30 15:58:15
73,6,1,3,2025-09-16 15:58:15
